,State,Bill Name,Issues,Status,Status Detail,Status Date,Month,Day,Year
14,Texas,S.B. 1565,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,Left pending in committee,03/06/2025,3,6,2025
15,Texas,H.B. 436,Cutting Equitable Public Programs | Funding Restrictions | Other anti-LGBTQ bills,Advancing,First read and referred to committee,02/28/2025,2,28,2025
16,Texas,H.B. 1704,Forced outing in schools | Restricting student & educator rights,Advancing,First read and referred to committee,03/14/2025,3,14,2025
17,Texas,H.B. 2291,Barriers to accurate IDs | ,Advancing,First read and referred to committee,03/14/2025,3,14,2025
18,Texas,H.B. 2342,Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/14/2025,3,14,2025
19,Texas,H.B. 2258,Healthcare age restrictions | Healthcare restrictions | ,Advancing,First read and referred to committee,03/14/2025,3,14,2025
20,Texas,H.B. 2062,Public accommodation bans | Restricting student & educator rights | School facilities bans,Advancing,First read and referred to committee,03/14/2025,3,14,2025
21,Texas,H.B. 2354,Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/14/2025,3,14,2025
22,Texas,S.B. 810,Other school restrictions | Restricting student & educator rights,Advancing,Not again placed on intent calendar,03/26/2025,3,26,2025
23,Texas,H.B. 2549,Barriers to accurate IDs | ,Advancing,First read and referred to committee,03/17/2025,3,17,2025
24,Texas,H.B. 2548,Curriculum censorship | Restricting student & educator rights,Advancing,First read and referred to committee,03/17/2025,3,17,2025
25,Texas,S.B. 1953,Barriers to accurate IDs | ,Advancing,First read and referred to committee,03/17/2025,3,17,2025
26,Texas,S.B. 1073,Religious exemptions | Weakening Civil Rights Laws,Advancing,Not again placed on intent calendar,03/25/2025,3,25,2025
27,Texas,H.B. 2704,Other anti-LGBTQ bills | Restricting student & educator rights | School facilities bans,Advancing,First read and referred to committee,03/18/2025,3,18,2025
28,Texas,H.B. 2846,Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/19/2025,3,19,2025
29,Texas,H.B. 2816,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Advancing,First read and referred to committee,03/19/2025,3,19,2025
30,Texas,H.B. 437,Other anti-LGBTQ bills,Advancing,Left pending in subcommittee,03/20/2025,3,20,2025
31,Texas,S.B. 12,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,Senate passed; House received,03/20/2025,3,20,2025
32,Texas,H.B. 3075,Other anti-LGBTQ bills,Advancing,First read and referred to committee,03/20/2025,3,20,2025
33,Texas,H.B. 3186,Restricting student & educator rights | School sports bans,Advancing,First read and referred to committee,03/20/2025,3,20,2025
34,Texas,H.B. 2969,Religious exemptions | Weakening Civil Rights Laws,Advancing,First read and referred to committee,03/20/2025,3,20,2025
35,Texas,H.B. 3431,Healthcare age restrictions | Healthcare restrictions | ,Advancing,First read and referred to committee,03/21/2025,3,21,2025
36,Texas,H.B. 3427,Other anti-LGBTQ bills,Advancing,First read and referred to committee,03/21/2025,3,21,2025
37,Texas,H.B. 3399,Healthcare funding restrictions | Healthcare restrictions | Total healthcare bans,Advancing,First read and referred to committee,03/21/2025,3,21,2025
38,Texas,H.B. 3411,Curriculum censorship | Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/21/2025,3,21,2025
39,Texas,H.B. 3478,Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers,Advancing,First read and referred to subcommittee,03/24/2025,3,24,2025
40,Texas,H.B. 3548,Curriculum censorship | Restricting student & educator rights,Advancing,First read and referred to committee,03/24/2025,3,24,2025
41,Texas,S.B. 1999,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,Left pending in committee,03/24/2025,3,24,2025
42,Texas,S.B. 2149,Other anti-LGBTQ bills,Advancing,First read and referred to committee,03/24/2025,3,24,2025
43,Texas,H.B. 3616,Forced outing in schools | Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/25/2025,3,25,2025
44,Texas,H.B. 3817,Other anti-LGBTQ bills,Advancing,First read and referred to committee,03/26/2025,3,26,2025
45,Texas,H.B. 1088,Healthcare restrictions | Other healthcare barriers,Advancing,Left pending in committee,03/26/2025,3,26,2025
46,Texas,H.B. 3842,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/26/2025,3,26,2025
47,Texas,H.B. 3742,Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/26/2025,3,26,2025
48,Texas,H.B. 4002,Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/27/2025,3,27,2025
49,Texas,H.B. 4001,Barriers to accurate IDs | Re-definition of sex | Weakening Civil Rights Laws,Advancing,First read and referred to committee,03/27/2025,3,27,2025
50,Texas,S.B. 1188,Other anti-LGBTQ bills,Advancing,Placed on intent calendar,04/01/2025,4,1,2025
51,Texas,S.B. 619,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Advancing,Reported favorably by committee,03/31/2025,3,31,2025
52,Texas,H.B. 4333,Other anti-LGBTQ bills,Advancing,First read and referred to committee,04/01/2025,4,1,2025
53,Texas,H.B. 4311,Other anti-LGBTQ bills,Advancing,First read and referred to committee,04/01/2025,4,1,2025
54,Texas,H.B. 4425,Free speech & expression bans | Other anti-LGBTQ bills | Other expression restrictions,Advancing,First read and referred to committee,04/02/2025,4,2,2025
55,Texas,S.B. 689,Other anti-LGBTQ bills,Advancing,Senate passed and engrossed,04/03/2025,4,3,2025
56,Texas,H.B. 4710,Healthcare age restrictions | Healthcare restrictions | ,Advancing,First read and referred to committee,04/03/2025,4,3,2025
57,Texas,S.B. 240,Public accommodation bans,Advancing,Public hearing,04/03/2025,4,3,2025
58,Texas,S.B. 406,Barriers to accurate IDs | ,Advancing,Senate passed and engrossed,04/03/2025,4,3,2025
59,Texas,H.B. 4503,Other anti-LGBTQ bills,Advancing,First read and referred to committee,04/03/2025,4,3,2025
60,Texas,H.B. 2339,Curriculum censorship | Other school restrictions | Restricting student & educator rights,Advancing,First read and referred to committee,03/14/2025,3,14,2025
61,Tennessee,H.B.0571,Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws,Advancing,Placed on committee calendar,04/09/2025,4,9,2025
62,Tennessee,H.B.1262,Other school restrictions | Restricting student & educator rights,Advancing,Taken off notice in committee calendar,04/02/2025,4,2,2025
63,Tennessee,H.B.1271,Re-definition of sex | Weakening Civil Rights Laws,Advancing,Action deferred in committee second calendar or 2026,04/02/2025,4,2,2025
64,Tennessee,H.B.0754,Healthcare restrictions | Other healthcare barriers,Advancing,Placed behind the budget,03/26/2025,3,26,2025
65,Tennessee,S.B.0472,Restricting student & educator rights | School facilities bans,Advancing,Companion House Bill substituted,03/20/2025,3,20,2025
66,Tennessee,H.B.1044,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Advancing,Placed on calendar,04/07/2025,4,7,2025
67,Tennessee,S.B.0676,Healthcare restrictions | Other healthcare barriers,Advancing,"Reported favorably as amended, referred to committee",03/25/2025,3,25,2025
68,Tennessee,S.B.0468,Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws,Advancing,Passed Senate and received by House,03/31/2025,3,31,2025
69,Tennessee,H.B.1270,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,Placed on subcommittee calendar,04/09/2025,4,9,2025
70,Tennessee,H.B.0064,Restricting student & educator rights | School facilities bans,Passed into Law,Signed by Governor,04/03/2025,4,3,2025
71,Tennessee,S.B.0937,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,Passed House as amended and engrossed,04/03/2025,4,3,2025
72,Tennessee,S.B.1252,Other school restrictions | Restricting student & educator rights,Advancing,Assigned to subcommittee ,03/26/2025,3,26,2025
73,South Dakota,H.B.1259,Public accommodation bans | Restricting student & educator rights | School facilities bans,Passed into Law,Signed by Governor,03/31/2025,3,31,2025
74,South Carolina,H.B.3927,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,Passed House and transmitted to Senate,04/03/2025,4,3,2025
75,Puerto Rico,P.S.0001,Religious exemptions | Weakening Civil Rights Laws,Advancing,Passed Senate,04/03/2025,4,3,2025
76,Pennsylvania,S.B.9,Restricting student & educator rights | School sports bans,Advancing,Second consideration,03/31/2025,3,31,2025
77,Oklahoma,H.B.1224,Religious exemptions | Weakening Civil Rights Laws,Advancing,House passed; Senate first read,03/27/2025,3,27,2025
78,Oklahoma,S.B.658,Religious exemptions | Weakening Civil Rights Laws,Advancing,Senate passed; House second read and referred to committee,04/01/2025,4,1,2025
79,Oklahoma,H.B.1688,Barriers to accurate IDs | ,Advancing,House passed; Senate second read and referred to committee,04/01/2025,4,1,2025
80,Oklahoma,S.B.418,Other anti-LGBTQ bills,Advancing,Senate passed; House second read and referred to committee,04/01/2025,4,1,2025
81,Ohio,H.B.172,Healthcare age restrictions | Healthcare restrictions | ,Advancing,Referred to committee,03/19/2025,3,19,2025
82,North Dakota,H.B. 1144,Restricting student & educator rights | School facilities bans,Advancing,House passed; Senate committee hearing 10am,03/24/2025,3,24,2025
83,North Dakota,S.B. 2244,Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights,Advancing,Second reading failed to pass,03/31/2025,3,31,2025
84,New Jersey,S.419,Classroom Censorship | Limiting Educational Access | Other school restrictions | Restricting student & educator rights,Introduced,Carried over,01/14/2025,1,14,2025
85,New Jersey,A.2720,Classroom Censorship | Limiting Educational Access | Other school restrictions | Restricting student & educator rights,Introduced,Carried over,01/14/2025,1,14,2025
86,New Hampshire,H.B.620,Religious exemptions | Weakening Civil Rights Laws,Advancing,Laid on table,03/27/2025,3,27,2025
87,New Hampshire,S.B.38,Other civil rights restrictions | Weakening Civil Rights Laws,Advancing,Pending motion Ought to Pass,03/27/2025,3,27,2025
88,New Hampshire,H.B.148,Other civil rights restrictions | Weakening Civil Rights Laws,Advancing,House passed; Senate referred to committee,03/24/2025,3,24,2025
89,New Hampshire,H.B.712,Healthcare age restrictions | Healthcare restrictions | ,Advancing,House passed; Senate referred to committee,03/28/2025,3,28,2025
90,New Hampshire,H.B.377,Healthcare age restrictions | Healthcare restrictions | ,Advancing,House passed; Senate referred to committee,03/28/2025,3,28,2025
91,New Hampshire,S.B.211,Restricting student & educator rights | School facilities bans | School sports bans,Advancing,Senate passed; House public hearing canceled,04/01/2025,4,1,2025
92,New Hampshire,S.B.268,Healthcare age restrictions | Healthcare restrictions | Other civil rights restrictions | Weakening Civil Rights Laws,Advancing,Senate passed; House public hearing 10am,04/16/2025,4,16,2025
93,Nebraska,L.B.89,Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws,Advancing,Committee amendment filed,03/25/2025,3,25,2025
94,Montana,H.B. 121,Other anti-LGBTQ bills | Public accommodation bans | Restricting student & educator rights | School facilities bans,Advancing,Transmitted to Governor,03/18/2025,3,18,2025
95,Montana,H.B. 471,Curriculum censorship | Restricting student & educator rights,Advancing,House passed; Senate re-referred to committee,03/20/2025,3,20,2025
96,Montana,H.B. 655,Religious exemptions | Weakening Civil Rights Laws,Advancing,Passed House; Senate hearing,03/24/2025,3,24,2025
97,Montana,S.B. 437,Barriers to accurate IDs | Other anti-LGBTQ bills | Other school restrictions | Re-definition of sex | Restricting student & educator rights | Weakening Civil Rights Laws,Advancing,Senate passed; House hearing,03/24/2025,3,24,2025
98,Montana,S.B. 164,Healthcare age restrictions | Healthcare restrictions | ,Advancing,Passed Senate as amended; House committee reported favorably as amended,03/27/2025,3,27,2025
99,Montana,H.B. 300,Restricting student & educator rights | School facilities bans | School sports bans,Passed into Law,Signed by Governor,03/27/2025,3,27,2025
100,Montana,H.B. 682,Healthcare restrictions | Other healthcare barriers,Advancing,House passed; Senate hearing,03/28/2025,3,28,2025
101,Montana,H.B. 690,Healthcare restrictions | Other healthcare barriers,Advancing,House passed; Senate hearing,03/28/2025,3,28,2025
102,Montana,H.B. 400,Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights,Advancing,House passed; Senate committee concurred,04/03/2025,4,3,2025
103,Montana,S.B. 299,Forced outing in schools | Restricting student & educator rights,Advancing,Passed Senate; House hearing,04/03/2025,4,3,2025
104,Montana,S.B. 218,Healthcare restrictions | Other healthcare barriers,Advancing,Senate passed; House committee reported favorably,04/03/2025,4,3,2025
105,Missouri,H.B. 144,Other anti-LGBTQ bills,Advancing,Public hearing completed,04/02/2025,4,2,2025
106,Missouri,H.B. 1362,Barriers to accurate IDs | ,Advancing,Public hearing completed,03/31/2025,3,31,2025
107,Missouri,S.B. 704,Healthcare restrictions | Other healthcare barriers,Advancing,Second read and referred to committee,03/24/2025,3,24,2025
108,Missouri,S.B. 10,Healthcare age restrictions | Healthcare restrictions | Restricting student & educator rights | School sports bans,Advancing,Senate passed and returned to House; House executive session scheduled,04/08/2025,4,8,2025
109,Missouri,S.B. 764,Drag bans | Free speech & expression bans | ,Advancing,Second read and referred to committee,03/27/2025,3,27,2025
110,Missouri,S.B. 769,Other anti-LGBTQ bills,Advancing,Second read and referred to committee,03/27/2025,3,27,2025
111,Missouri,S.B. 272,Other anti-LGBTQ bills,Advancing,Reported favorably by committee,04/02/2025,4,2,2025
112,Mississippi,H.B. 1609,Defunding DEI Offices | Other anti-LGBTQ bills | Restricting Educational Equity,Defeated,Died in committee,02/04/2025,2,4,2025
113,Mississippi,H.B. 1416,Banning DEI Trainings | Bans on Diversity Statements | EEO Offices | Other anti-LGBTQ bills | Restricting Educational Equity | Undermining Employment Equity,Defeated,Died in committee,02/04/2025,2,4,2025
114,Mississippi,S.B. 2223,Bans on Diversity Statements | Defunding DEI Offices | Other anti-LGBTQ bills | Restricting Educational Equity,Defeated,Died in committee,02/04/2025,2,4,2025
115,Mississippi,S.B. 2867,Healthcare funding restrictions | Healthcare restrictions | ,Advancing,Governor's veto referred to committee,03/28/2025,3,28,2025
116,Mississippi,H.B. 1193,Bans on Diversity Statements | Curriculum censorship | Recruitment and Retention | Restricting Educational Equity | Restricting student & educator rights | Undermining Employment Equity,Advancing,Enrolled bill signed,04/03/2025,4,3,2025
117,Maine,L.D. 233 (H.P. 156),Restricting student & educator rights | School sports bans,Advancing,Carried over to the next special or regular session,03/21/2025,3,21,2025
118,Maine,L.D. 868 (H.P. 554),Restricting student & educator rights | School facilities bans | School sports bans,Advancing,Carried over to the next special or regular session,03/21/2025,3,21,2025
119,Kentucky,S.B.2,Healthcare restrictions | Prison healthcare restrictions,Passed into Law,Became law without Governor's signature,03/27/2025,3,27,2025
120,Kentucky,H.B.4,Other school restrictions | Restricting student & educator rights,Passed into Law,House and Senate override of Governor's veto,03/27/2025,3,27,2025
121,Kansas,S.B.76,Other school restrictions | Restricting student & educator rights,Advancing,Senate passed; Stricken from House calendar,03/21/2025,3,21,2025
122,Kansas,H.B.2311,Religious exemptions | Weakening Civil Rights Laws,Advancing,Passed House and Senate; enrolled and presented to Governor,03/28/2025,3,28,2025
123,Iowa,S.F.220,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Advancing,Placed on calendar under unfinished business,04/03/2025,4,3,2025
124,Iowa,H.F.571,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Advancing,Passed House; Senate placed on calendar under unfinished business,04/03/2025,4,3,2025
125,Iowa,S.F.507,Other anti-LGBTQ bills,Advancing,Passed Senate; House committee recommends passage and placed on calendar,04/01/2025,4,1,2025
126,Iowa,S.F.473,Religious exemptions | Weakening Civil Rights Laws,Advancing,Passed Senate; House committee recommends passage and placed on calendar,04/02/2025,4,2,2025
127,Iowa,H.F.922,Other anti-LGBTQ bills,Advancing,Referred to committee,04/03/2025,4,3,2025
128,Iowa,H.F.856,Other anti-LGBTQ bills,Advancing,House passed; Senate committee recommends passage and placed on calendar,04/03/2025,4,3,2025
129,Indiana,H.B.1041,Restricting student & educator rights | School sports bans,Advancing,House passed; Senate third read,04/03/2025,4,3,2025
130,Idaho,S.1027,Other anti-LGBTQ bills,Passed into Law,Governor signed,03/24/2025,3,24,2025
131,Idaho,H.239,Curriculum censorship | Restricting student & educator rights,Passed into Law,Governor signed,03/31/2025,3,31,2025
132,Idaho,H.352,Curriculum censorship | Restricting student & educator rights,Passed into Law,Governor signed,03/31/2025,3,31,2025
133,Idaho,H.264,Other anti-LGBTQ bills | Restricting student & educator rights | School facilities bans,Passed into Law,Governor signed,04/02/2025,4,2,2025
134,Idaho,H.59,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Passed into Law,Governor signed,03/20/2025,3,20,2025
135,Idaho,H.41,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,Passed into Law,Governor signed,03/20/2025,3,20,2025
136,Georgia,S.B.30,Healthcare age restrictions | Healthcare restrictions | ,Advancing,Senate passed; House committee reported favorably as substituted,03/27/2025,3,27,2025
137,Georgia,S.B.1,Restricting student & educator rights | School facilities bans | School sports bans,Advancing,House passed as substituted; Senate agreed with substitute,03/31/2025,3,31,2025
138,Georgia,S.B.185,Healthcare restrictions | Prison healthcare restrictions,Advancing,Senate and House passed,04/02/2025,4,2,2025
139,Georgia,S.B.39,Healthcare funding restrictions | Healthcare restrictions | Other healthcare barriers | Prison healthcare restrictions,Advancing,House Committee favorably reported as substituted ,04/02/2025,4,2,2025
140,Georgia,S.B.36,Religious exemptions | Weakening Civil Rights Laws,Advancing,Senate and House passed; sent to Governor,04/03/2025,4,3,2025
141,Florida,S.B. 440,Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws,Advancing,First read as substituted by committee,03/26/2025,3,26,2025
142,Florida,S.B. 1710,Other anti-LGBTQ bills,Advancing,Referred to committee,03/19/2025,3,19,2025
143,Florida,S.B. 100,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,Advancing,On committee agenda,04/08/2025,4,8,2025
144,Florida,H.B. 731,Other anti-LGBTQ bills,Advancing,Referred to committee,03/27/2025,3,27,2025
145,California,A.B.89,Restricting student & educator rights | School sports bans,Defeated,Failed in committee ,04/02/2025,4,2,2025
146,California,A.B.844,Restricting student & educator rights | School facilities bans | School sports bans,Defeated,Failed in committee,04/01/2025,4,1,2025
147,Arkansas,H.B.1307,Other anti-LGBTQ bills,Passed into Law,Governor signed,03/18/2025,3,18,2025
148,Arkansas,H.B.1684,Forced outing in schools | Restricting student & educator rights,Advancing,Passed House; Senate second read and referred to committee,03/20/2025,3,20,2025
149,Arkansas,H.B.1668,Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers,Advancing,Withdrawn by author,04/01/2025,4,1,2025
150,Arkansas,S.B.362,Other anti-LGBTQ bills,Advancing,Re-referred to committee,04/03/2025,4,3,2025
151,Arkansas,S.B.444,Healthcare restrictions | Other healthcare barriers,Advancing,Senate passed; House second read and referred to committee,04/03/2025,4,3,2025
152,Arkansas,H.B.1615,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Advancing,House passed; Senate second read and referred to committee,04/03/2025,4,3,2025
153,Arkansas,H.B.1669,Religious exemptions | Weakening Civil Rights Laws,Advancing,Returned to House and Senate as passed and amended; House re-referred committee,04/03/2025,4,3,2025
154,Arizona,H.B.2062,Re-definition of sex | Weakening Civil Rights Laws,Advancing,Senate consent,03/18/2025,3,18,2025
155,Arizona,H.B.2438,Barriers to accurate IDs | ,Advancing,Senate First Minority and Majority Caucus,03/25/2025,3,25,2025
156,Arizona,S.B.1002,Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws,Advancing,Senate passed; House reported favorably by committee,03/25/2025,3,25,2025
157,Arizona,S.B.1586,Healthcare restrictions | Other healthcare barriers,Advancing,Senate Passed; House reported favorably by committee,03/26/2025,3,26,2025
158,Arizona,H.B.2868,Other anti-LGBTQ bills,Advancing,House passed; Senate Majority and Minority Caucus,04/01/2025,4,1,2025
159,Alaska,H.B. 40,Restricting student & educator rights | School sports bans,Advancing,First read and referred to committee,01/22/2025,1,22,2025
160,Wisconsin,S.B.146,Barriers to accurate IDs | ,Advancing,First read and referred to committee,03/21/2025,3,21,2025
161,Wisconsin,S.B.157,Healthcare age restrictions | Healthcare restrictions | ,Advancing,First read and referred to committee,03/27/2025,3,27,2025
162,West Virginia,S.B.841,Curriculum censorship | Healthcare funding restrictions | Healthcare restrictions | Other anti-LGBTQ bills | Restricting student & educator rights,Advancing,Referred to committee,03/20/2025,3,20,2025
163,Texas,S.B. 2920,Restricting student & educator rights | School sports bans,Introduced,,03/14/2025,3,14,2025
164,Texas,S.B. 2943,Religious exemptions | Weakening Civil Rights Laws,Introduced,,03/14/2025,3,14,2025
165,Texas,H.B. 5541,Religious exemptions | Weakening Civil Rights Laws,Introduced,,03/14/2025,3,14,2025
166,Texas,H.B. 5593,Other anti-LGBTQ bills,Introduced,,03/14/2025,3,14,2025
167,Texas,S.B. 2714,Curriculum censorship | Restricting student & educator rights,Advancing,First read and referred to committee,04/03/2025,4,3,2025
168,South Carolina,H.B.4302,Other anti-LGBTQ bills,Advancing,First read and referred to committee,04/03/2025,4,3,2025
169,Pennsylvania,H.B.987,Other anti-LGBTQ bills,Advancing,Referred to committee,03/24/2025,3,24,2025
170,Pennsylvania,H.B.1033,Healthcare age restrictions | Healthcare restrictions | ,Advancing,Referred to committee,03/24/2025,3,24,2025
171,Ohio,H.B.190,Forced outing in schools | Other school restrictions | Restricting student & educator rights,Advancing,Referred to committee,03/26/2025,3,26,2025
172,North Carolina,S442,Healthcare restrictions | Other healthcare barriers,Advancing,First read and referred to committee,03/25/2025,3,25,2025
173,North Carolina,S516,Barriers to accurate IDs | Other anti-LGBTQ bills | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws,Advancing,First read and referred to committee,03/26/2025,3,26,2025
174,North Carolina,H560,Healthcare restrictions | Other healthcare barriers,Advancing,First read and referred to committee,03/31/2025,3,31,2025
175,North Carolina,H606,Healthcare restrictions | Other healthcare barriers,Advancing,First read and referred to committee,04/01/2025,4,1,2025
176,North Carolina,H595,Curriculum censorship | Other anti-LGBTQ bills | Restricting student & educator rights,Advancing,First read and referred to committee,04/01/2025,4,1,2025
177,North Carolina,H791,Barriers to accurate IDs | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws,Introduced,,04/03/2025,4,3,2025
178,North Carolina,H776,Religious exemptions | Weakening Civil Rights Laws,Introduced,,04/03/2025,4,3,2025
179,Montana,H.B. 872,Other civil rights restrictions | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws,Advancing,Reported favorably as amended by committee,04/04/2025,4,4,2025
180,Minnesota,S.F.2817,Restricting student & educator rights | School sports bans,Advancing,First read and referred to committee,03/20/2025,3,20,2025
181,Minnesota,H.F.2685,Restricting student & educator rights | School sports bans,Advancing,First read and referred to committee,03/24/2025,3,24,2025
182,Maine,L.D. 1134 (S.P. 461),Restricting student & educator rights | School sports bans,Advancing,Carried over to the next special or regular session,03/21/2025,3,21,2025
183,Maine,L.D. 1337 (H.P. 872),Other civil rights restrictions | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws,Advancing,Referred to committee,03/27/2025,3,27,2025
184,Louisiana,H.B.418,Other anti-LGBTQ bills,Advancing,Referred to committee,04/03/2025,4,3,2025
185,Kentucky,H.B.495,Healthcare funding restrictions | Healthcare restrictions | ,Passed into Law,House and Senate override of Governor's veto,03/27/2025,3,27,2025
186,Kentucky,H.B.501,Healthcare age restrictions | Healthcare restrictions | ,Advancing,Filed without Governor's signature with the Secretary of State,04/01/2025,4,1,2025
187,Indiana,H.B.1412,Healthcare restrictions | Other healthcare barriers,Advancing,"Passed House; Senate Second read, amended and ordered engrossed",04/03/2025,4,3,2025
188,Illinois,H.B.4027,Restricting student & educator rights | School sports bans,Advancing,First read and referred to committee,03/19/2025,3,19,2025
189,Illinois,H.B.4030,Re-definition of sex | Weakening Civil Rights Laws,Introduced,,03/28/2025,3,28,2025
190,Idaho,S.1198,Other anti-LGBTQ bills,Advancing,Passed House as amended; Senate concurred in House amendments; referred to engrossment,04/03/2025,4,3,2025
191,Georgia,S.B.341,Other anti-LGBTQ bills,Advancing,First read and referred to committee,03/20/2025,3,20,2025
192,Georgia,H.B.127,Other anti-LGBTQ bills,Advancing,House passed; Senate passed as substituted,04/02/2025,4,2,2025
193,California,S.B.311,Other anti-LGBTQ bills,Advancing,Re-referred to committee,04/02/2025,4,2,2025
194,Arkansas,S.B.486,Other anti-LGBTQ bills | Public accommodation bans | Restricting student & educator rights | School facilities bans,Advancing,Passed Senate; House second read and referred to committee,04/02/2025,4,2,2025
195,Arkansas,H.B.1916,Healthcare age restrictions | Healthcare restrictions | ,Introduced,REPORTED CORRECTLY ENGROSSED,04/02/2025,4,2,2025
196,Wisconsin,A.B.124,Barriers to accurate IDs | ,Advancing,First read and referred to committee,03/11/2025,3,11,2025
197,Connecticut,S.B.1509,Other anti-LGBTQ bills,Advancing,Public hearing,03/17/2025,3,17,2025
198,Wyoming,S.F.0044,Restricting student & educator rights | School sports bans,Passed into Law,Governor signed,03/13/2025,3,13,2025
199,Wisconsin,S.B.120,Other school restrictions | Restricting student & educator rights,Advancing,Amendment offered,03/12/2025,3,12,2025
200,Utah,S.B.320,Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws,Defeated,Legislative session ended,03/07/2025,3,7,2025
